Repositories:,# Long Methods,Total Smells Detected,Top two smells detected (1st / 2nd) + special cases (~Very close to 2nd highest),Lines of Code (LoC),# Magic Number,# Long statement,# God Components,# Unutilized Abstraction,# Methods
https://github.com/junrar/junrar,8,1344,Magic Number / Complex method,8731,1153,32,0,15,777
https://github.com/bazaarvoice/jolt,1,779,Magic Number / Long statement,10607,304,148,2,100,1101
https://github.com/usb4java/usb4java,0,321,Magic Number / Long statement,7515,215,46,1,12,774
https://github.com/ktuukkan/marine-api,0,2491,Magic Number / Feature envy,23014,1844,32,2,22,3129
https://github.com/couchbase/couchbase-lite-java-core,14,1463,Magic Number / Long statement,33753,620,238,1,39,2924
https://github.com/rubenlagus/TelegramApi,7,3368,Magic Number / Unutilized abstraction,59242,922,330,3,489,8661
https://github.com/zapr-oss/druidry,0,947,Magic Number / Long statement,6178,408,301,2,12,830
https://github.com/sghr/iGeo,46,11428,Magic Number / Long parameter list,133823,7379,543,4,258,21327
https://github.com/mindwind/craft-atom,6,2651,Magic Number / Long parameter list,28617,1950,213,1,42,4154
https://github.com/super-csv/super-csv,1,1018,Magic Number / Long statement,21658,571,230,4,16,2258
https://github.com/plivo/plivo-java,0,767,Magic Number / Long statement,15342,294,149,2,124,3145
https://github.com/apache/brooklyn-library,1,3096,Long statement / Magic Number,30436,883,1544,3,246,3984
https://github.com/BYVoid/TA-Lib,33,9417,Magic Number / Long statement,22580,7609,827,0,9,962
https://github.com/forge/roaster,1,627,Long statement / Magic Number,16535,170,233,4,67,2214
https://github.com/jchambers/pushy,1,556,Long statement / Long identifier,9117,82,264,2,20,965
https://github.com/dog-gateway/enj-library,0,955,Magic Number / Deficient encapsulation,6785,661,66,0,44,613
https://github.com/dromara/hutool,5,7416,Magic Number / Long statement,175338,4947,539,13,309,15379
https://github.com/zhaojun1998/zfile,0,223,Unutilized Abstraction / Long statement,4982,26,40,0,59,446
https://github.com/line/armeria,18,14443,Magic Number / Long statement,224518,5677,5598,21,527,27063
https://github.com/fynnfluegge/oreon-engine,5,2958,Magic Number / Long statement,15647,1753,740,0,84,1503
https://github.com/Itiviti/simple-slack-api,1,332,Long Statement / Long Parameter List,6394,12,101,1,33,1189
https://github.com/greenrobot/essentials,0,1091,Magic Number / Unutilized abstraction,5921,921,18,0,53,652
https://github.com/lindenb/jvarkit,282,14702,Magic Number / Long statement,222602,6996,3433,11,337,16974
https://github.com/RuedigerMoeller/fast-serialization,9,2105,Magic Number / Long Parameter list,25349,1480,72,2,84,3025
https://github.com/DozerMapper/dozer,2,1804,Magic Number / Long statement,35915,540,455,7,119,5563
https://github.com/cbeust/jcommander,0,702,Unutilized abstraction / Unnecessary abstraction,7527,138,45,2,161,794
https://github.com/rampatra/jbot,0,89,Long statement / Insufficient modularization,5118,10,42,0,12,1032
https://github.com/nguyenq/tess4j,0,295,Magic Number / Long Parameter list,7549,105,46,1,5,706
https://github.com/spotify-web-api-java/spotify-web-api-java,0,1063,Long statement / Magic Number,34635,340,342,5,199,4008
https://github.com/jMonkeyEngine/jmonkeyengine,68,18808,Magic Number / Long statement,240376,13363,1086,9,651,20773
https://github.com/hprose/hprose-java,3,1265,Magic Number / Deficient encapsulation,17439,566,45,2,85,2444
https://github.com/PebbleTemplates/pebble,0,1012,Long statement / Magic Number,21039,224,292,4,112,2541
https://github.com/dustin/java-memcached-client,0,1324,Magic Number / Long statement,19056,837,105,3,75,2410
https://github.com/Guardsquare/proguard,10,3393,Long statement / Magic Number,40588,511,1580,6,147,4055
https://github.com/typetools/checker-framework,28,14460,Unutilized Abstraction / Magic Number,204884,3772,1985,9,5295,22812
https://github.com/firebase/firebase-admin-java,3,4764,Magic Number / Long statement,69608,2513,1205,10,94,8738
https://github.com/RoaringBitmap/RoaringBitmap,5,18721,Magic Number / Long statement,73656,17514,398,4,158,6270
https://github.com/elastic/apm-agent-java,4,6915,Magic Number / Long statement,100147,2408,1941,12,899,13740
https://github.com/twilio/twilio-java,8,13424,Long statement / Magic Number,267493,1709,5406,15,80,24428
